fips,state_id,name,latitude,longitude
05037,AR,Cross County,33.572719,-92.82746
05039,AR,Dallas County,34.556478,-94.20577
05041,AR,Desha County,33.554909,-92.82907
05043,AR,Drew County,33.938113,-91.845154
05045,AR,Faulkner County,33.554909,-92.82907
05047,AR,Franklin County,33.57692,-92.84572
05049,AR,Fulton County,34.780279,-90.76858
05051,AR,Garland County,33.803809,-93.370418
05053,AR,Grant County,33.531799,-92.834239
05055,AR,Greene County,33.58473,-92.847309
05057,AR,Hempstead County,33.554909,-92.82907
05059,AR,Hot Spring County,34.510353,-93.053512
05061,AR,Howard County,33.554909,-92.82907
05063,AR,Independence County,33.614579,-92.77794
05065,AR,Izard County,33.554909,-92.82907
05067,AR,Jackson County,33.58422,-92.82983
05069,AR,Jefferson County,34.391925,-92.12395
05071,AR,Johnson County,33.57365,-92.82625
05073,AR,Lafayette County,33.5915,-92.85132
05075,AR,Lawrence County,33.554909,-92.82907
05077,AR,Lee County,33.592743,-92.860684
05079,AR,Lincoln County,35.946946,-94.418191
05081,AR,Little River County,35.875288,-90.184753
05083,AR,Logan County,34.04914,-90.986739
05085,AR,Lonoke County,34.832095,-92.002463
05087,AR,Madison County,33.585609,-92.828419
05089,AR,Marion County,35.216394,-90.206743
05091,AR,Miller County,33.554909,-92.82907
05093,AR,Mississippi County,33.554909,-92.82907
05095,AR,Monroe County,33.587699,-92.827489
05097,AR,Montgomery County,33.614579,-92.77794
05099,AR,Nevada County,33.554909,-92.82907
05101,AR,Newton County,33.5801,-92.825182
05103,AR,Ouachita County,33.57836,-92.832909
05105,AR,Perry County,35.072319,-92.775833
05107,AR,Phillips County,33.536049,-92.83435
05109,AR,Pike County,33.554909,-92.82907
05111,AR,Poinsett County,34.575185,-91.107451
05113,AR,Polk County,33.554909,-92.82907
05115,AR,Pope County,33.58019,-92.83249
05117,AR,Prairie County,33.554909,-92.82907
05119,AR,Pulaski County,33.554909,-92.82907
05121,AR,Randolph County,33.554909,-92.82907
05123,AR,St. Francis County,36.270213,-93.146132
05125,AR,Saline County,33.565249,-92.815019
05127,AR,Scott County,33.528709,-92.838679
05129,AR,Searcy County,35.202885,-91.714843
05131,AR,Sebastian County,33.554909,-92.82907
05133,AR,Sevier County,33.577819,-92.832009
05135,AR,Sharp County,33.585079,-92.854259
05137,AR,Stone County,36.049709,-91.637599
05139,AR,Union County,36.259453,-91.92208
05141,AR,Van Buren County,33.586537,-92.830927
05143,AR,Washington County,33.586165,-92.8718
05145,AR,White County,33.155031,-91.959963
05147,AR,Woodruff County,33.554909,-92.82907
05149,AR,Yell County,33.554909,-92.82907
06001,CA,Alameda County,37.787366,-122.295797
06003,CA,Alpine County,32.837133,-116.766859
06005,CA,Amador County,38.350546,-120.929832
06007,CA,Butte County,38.528002,-121.971064
06009,CA,Calaveras County,34.017877,-118.408086
06011,CA,Colusa County,39.200863,-122.018292
06013,CA,Contra Costa County,34.123857,-117.707167
06015,CA,Del Norte County,40.021561,-120.102171
06017,CA,El Dorado County,38.678788,-120.845814
06019,CA,Fresno County,36.721375,-119.812681
06021,CA,Glenn County,38.845421,-120.859904
06023,CA,Humboldt County,38.552999,-121.770812
06025,CA,Imperial County,32.576633,-117.132476
06027,CA,Inyo County,38.366822,-121.941996
06029,CA,Kern County,33.891546,-117.56676
06031,CA,Kings County,38.6605,-121.243507
06033,CA,Lake County,38.456462,-120.527545
06035,CA,Lassen County,38.44996,-121.845831
06037,CA,Los Angeles County,34.047247,-118.246183
06039,CA,Madera County,36.955829,-120.056027
06041,CA,Marin County,36.680918,-121.806577
06043,CA,Mariposa County,37.486896,-119.962094
06045,CA,Mendocino County,38.487473,-123.01262
06047,CA,Merced County,37.291563,-120.460666
06049,CA,Modoc County,38.232717,-120.955058
06051,CA,Mono County,38.348942,-121.971319
06053,CA,Monterey County,36.591507,-121.901997
06055,CA,Napa County,38.304275,-122.285072
06057,CA,Nevada County,38.113518,-122.601875
06059,CA,Orange County,33.787874,-117.852006
06061,CA,Placer County,38.751945,-121.286858
06063,CA,Plumas County,34.029064,-118.403594
06065,CA,Riverside County,37.121665,-122.119117
06067,CA,Sacramento County,38.601641,-121.430398
06069,CA,San Benito County,36.501543,-121.086633
06071,CA,San Bernardino County,34.063682,-117.284719
06073,CA,San Diego County,32.588319,-117.08765
06075,CA,San Francisco County,37.805344,-122.408162
06077,CA,San Joaquin County,36.6042,-119.453473
06079,CA,San Luis Obispo County,35.180289,-120.730674
06081,CA,San Mateo County,37.439655,-122.179927
06083,CA,Santa Barbara County,34.415191,-119.688104
06085,CA,Santa Clara County,37.347359,-121.94185
06087,CA,Santa Cruz County,36.958582,-122.025983
06089,CA,Shasta County,38.450153,-121.829833
06091,CA,Sierra County,38.340655,-121.953817
06093,CA,Siskiyou County,38.411049,-121.377888
06095,CA,Solano County,38.48515,-121.693669
06097,CA,Sonoma County,38.414811,-122.546653
06099,CA,Stanislaus County,38.700351,-121.266424
06101,CA,Sutter County,39.164589,-121.740467
06103,CA,Tehama County,40.026962,-122.126166
06105,CA,Trinity County,38.345667,-121.968752
06107,CA,Tulare County,36.209035,-119.372005
06109,CA,Tuolumne County,37.968166,-120.233105
06111,CA,Ventura County,34.353408,-119.428151
06113,CA,Yolo County,38.274859,-120.967204
06115,CA,Yuba County,38.653908,-121.337761
08001,CO,Adams County,39.87363,-104.33791
08003,CO,Alamosa County,37.472574,-105.872938
08005,CO,Arapahoe County,38.946365,-105.06012
08007,CO,Archuleta County,37.1936,-107.04833
08009,CO,Baca County,37.31918,-102.56047
08011,CO,Bent County,39.752795,-104.432002
08013,CO,Boulder County,40.053006,-105.406462
08014,CO,Broomfield County,39.891456,-104.988542
08015,CO,Chaffee County,38.7469,-106.19407
08017,CO,Cheyenne County,38.82794,-102.6034
08019,CO,Clear Creek County,40.453387,-104.916259
08021,CO,Conejos County,37.172145,-105.985349
08023,CO,Costilla County,37.2781,-105.42827
08025,CO,Crowley County,38.194675,-103.84938
08027,CO,Custer County,38.10868,-105.36747
08029,CO,Delta County,38.866422,-107.589706
08031,CO,Denver County,39.770206,-105.020537
08033,CO,Dolores County,37.349053,-108.554555
08035,CO,Douglas County,39.32972,-104.92956
08037,CO,Eagle County,39.581527,-106.768905
08039,CO,Elbert County,39.216467,-104.536343
08041,CO,El Paso County,38.83209,-104.52558
08043,CO,Fremont County,38.47297,-105.43966
08045,CO,Garfield County,38.434419,-105.21544
08047,CO,Gilpin County,39.85756,-105.52253
08049,CO,Grand County,37.955391,-104.836724
08051,CO,Gunnison County,38.542175,-106.934835
08053,CO,Hinsdale County,37.82134,-107.30031
08055,CO,Huerfano County,37.68468,-104.96058
08057,CO,Jackson County,40.66643,-106.34279
08059,CO,Jefferson County,39.406804,-105.826456
08061,CO,Kiowa County,39.218651,-104.53635
08063,CO,Kit Carson County,38.10167,-102.95679
08065,CO,Lake County,39.20238,-106.34484
08067,CO,La Plata County,37.28656,-107.84334
08069,CO,Larimer County,40.66641,-105.46116
08071,CO,Las Animas County,38.069928,-103.234398
08073,CO,Lincoln County,38.435789,-105.18562
08075,CO,Logan County,38.235827,-104.612636
08077,CO,Mesa County,39.166254,-108.139848
08079,CO,Mineral County,37.669,-106.92409
08081,CO,Moffat County,37.999231,-105.909669
08083,CO,Montezuma County,39.607652,-105.939791
08085,CO,Montrose County,38.464207,-107.867488
08087,CO,Morgan County,37.170327,-105.928526
08089,CO,Otero County,37.9027,-103.71645
08091,CO,Ouray County,38.466692,-107.842129
08093,CO,Park County,39.1193,-105.71717
08095,CO,Phillips County,40.59388,-102.35758
08097,CO,Pitkin County,38.535972,-106.001732
08099,CO,Prowers County,38.066891,-103.219912
08101,CO,Pueblo County,38.263849,-104.661748
08103,CO,Rio Blanco County,39.529565,-107.8012
08105,CO,Rio Grande County,40.076913,-102.231408
08107,CO,Routt County,39.649468,-106.59198
08109,CO,Saguache County,37.683064,-106.571684
08111,CO,San Juan County,37.166202,-104.518349
08113,CO,San Miguel County,38.00374,-108.40583
08115,CO,Sedgwick County,39.729369,-102.063198
08117,CO,Summit County,39.63417,-106.11638
08119,CO,Teller County,38.88217,-105.16183
08121,CO,Washington County,39.97106,-103.20125
08123,CO,Weld County,40.408059,-105.152172
08125,CO,Yuma County,39.729369,-102.063198
09001,CT,Fairfield County,41.140274,-73.270692
09003,CT,Hartford County,41.769289,-72.686032
09005,CT,Litchfield County,41.762301,-73.114824
09007,CT,Middlesex County,41.689568,-73.480581
09009,CT,New Haven County,41.306745,-72.903814
09011,CT,New London County,41.343463,-72.105108
09013,CT,Tolland County,41.868851,-72.366997
09015,CT,Windham County,41.699004,-72.157488
10001,DE,Kent County,39.09595,-75.50461
10003,DE,New Castle County,39.690638,-75.555475
10005,DE,Sussex County,38.6833,-75.33954
11001,DC,District of Columbia,38.91706,-77.00025
12001,FL,Alachua County,29.752571,-82.859591
12003,FL,Baker County,30.165063,-85.685043
12005,FL,Bay County,30.23765,-85.63262
12007,FL,Bradford County,30.538828,-85.513173
12009,FL,Brevard County,28.30031,-80.70121
12011,FL,Broward County,26.118001,-80.324565
12013,FL,Calhoun County,30.622209,-81.887239
12015,FL,Charlotte County,26.89985,-81.95031
12017,FL,Citrus County,28.84757,-82.52011
12019,FL,Clay County,29.98307,-81.85789
12021,FL,Collier County,28.645039,-81.331891
12023,FL,Columbia County,30.189389,-82.637919
12027,FL,DeSoto County,27.18632,-81.8093
12029,FL,Dixie County,29.58124,-83.18703
12031,FL,Duval County,30.467122,-81.64788
12033,FL,Escambia County,30.621079,-87.037657
12035,FL,Flagler County,29.479841,-81.130457
12037,FL,Franklin County,30.678079,-81.456019
12039,FL,Gadsden County,30.57947,-84.6136
12041,FL,Gilchrist County,29.72582,-82.80037
12043,FL,Glades County,25.563471,-80.385891
12045,FL,Gulf County,26.449385,-80.100171
12047,FL,Hamilton County,30.49643,-82.94796
12049,FL,Hardee County,27.4927,-81.80993
12051,FL,Hendry County,26.55349,-81.1659
12053,FL,Hernando County,28.904093,-82.358528
12055,FL,Highlands County,27.3434,-81.34097
12057,FL,Hillsborough County,26.293969,-80.078932
12059,FL,Holmes County,30.86789,-85.8141
12061,FL,Indian River County,28.608024,-80.806741
12063,FL,Jackson County,30.79539,-85.21546
12065,FL,Jefferson County,30.42346,-83.90047
12067,FL,Lafayette County,30.44477,-84.140579
12069,FL,Lake County,28.76147,-81.7113
12071,FL,Lee County,28.862555,-82.488041
12073,FL,Leon County,30.858623,-86.068074
12075,FL,Levy County,29.28221,-82.78861
12077,FL,Liberty County,29.818002,-85.289329
12079,FL,Madison County,30.463509,-83.407809
12081,FL,Manatee County,27.688558,-82.437011
12083,FL,Marion County,30.772534,-85.226284
12085,FL,Martin County,30.441938,-84.27707
12086,FL,Miami-Dade County,25.60897,-80.49867
12087,FL,Monroe County,24.98438,-80.66795
12089,FL,Nassau County,30.61058,-81.77142
12091,FL,Okaloosa County,30.66503,-86.59218
12093,FL,Okeechobee County,27.406269,-80.431829
12095,FL,Orange County,29.719739,-84.986229
12097,FL,Osceola County,29.790779,-81.964579
12099,FL,Palm Beach County,26.782194,-80.035116
12101,FL,Pasco County,28.36382,-82.189087
12103,FL,Pinellas County,27.90268,-82.73955
12105,FL,Polk County,27.94888,-81.69767
12107,FL,Putnam County,29.60863,-81.7443
12109,FL,St. Johns County,29.91218,-81.40989
12111,FL,St. Lucie County,30.76801,-81.981155
12113,FL,Santa Rosa County,30.401454,-86.22155
12115,FL,Sarasota County,27.339802,-82.547837
12117,FL,Seminole County,30.52892,-86.473573
12119,FL,Sumter County,30.471079,-83.415949
12121,FL,Suwannee County,29.738728,-82.740865
12123,FL,Taylor County,28.024826,-82.401342
12125,FL,Union County,30.04384,-82.37144
12127,FL,Volusia County,29.06345,-81.14857
12129,FL,Wakulla County,30.064139,-84.49092
12131,FL,Walton County,26.67699,-80.05009
12133,FL,Washington County,26.13282,-80.179784
13001,GA,Appling County,33.44955,-82.312107
13003,GA,Atkinson County,31.22429,-81.846516
13005,GA,Bacon County,31.602374,-84.227503
13007,GA,Baker County,31.32618,-84.44467
13009,GA,Baldwin County,34.489073,-83.537962
13011,GA,Banks County,34.35413,-83.49737
13013,GA,Barrow County,33.9932,-83.71276
13015,GA,Bartow County,32.891937,-82.647958
13017,GA,Ben Hill County,30.761643,-83.220551
13019,GA,Berrien County,32.657503,-83.755792
13021,GA,Bibb County,32.80659,-83.69776
13023,GA,Bleckley County,31.501178,-85.018627
13025,GA,Brantley County,32.37088,-84.560969
13027,GA,Brooks County,33.30009,-84.453196
13029,GA,Bryan County,32.01322,-81.44247
13031,GA,Bulloch County,32.446188,-81.783692
13033,GA,Burke County,33.06115,-82.00078
13035,GA,Butts County,32.862988,-82.400577
13037,GA,Calhoun County,34.508735,-84.950752
13039,GA,Camden County,30.92249,-81.63639
13043,GA,Candler County,34.307266,-83.824987
13045,GA,Carroll County,33.627786,-84.933346
13047,GA,Catoosa County,33.372138,-84.794682
13049,GA,Charlton County,30.78172,-82.13769
13051,GA,Chatham County,31.97402,-81.09243
13053,GA,Chattahoochee County,32.34697,-84.78705
13055,GA,Chattooga County,34.47502,-85.34529
13057,GA,Cherokee County,34.24393,-84.4762
13059,GA,Clarke County,33.95117,-83.36733
13061,GA,Clay County,33.270477,-82.959059
13063,GA,Clayton County,34.86889,-83.409626
13065,GA,Clinch County,30.91495,-82.70624
13067,GA,Cobb County,31.975417,-83.942207
13069,GA,Coffee County,31.505784,-82.312873
13071,GA,Colquitt County,31.054976,-84.657809
13073,GA,Columbia County,33.54412,-82.26406
13075,GA,Cook County,31.15399,-83.43047
13077,GA,Coweta County,33.35346,-84.76337
13079,GA,Crawford County,33.559751,-82.795654
13081,GA,Crisp County,31.92293,-83.7681
13083,GA,Dade County,34.412373,-84.392873
13085,GA,Dawson County,32.045567,-81.876612
13087,GA,Decatur County,33.79309,-84.279693
13089,GA,DeKalb County,33.77153,-84.22641
13091,GA,Dodge County,32.17218,-83.1684
13093,GA,Dooly County,32.302782,-84.435851
13095,GA,Dougherty County,31.53337,-84.21625
13097,GA,Douglas County,31.516769,-82.816104
13099,GA,Early County,31.32283,-84.90364
13101,GA,Echols County,30.71009,-82.89394
13103,GA,Effingham County,32.36731,-81.34134
13105,GA,Elbert County,34.106235,-82.85506
13107,GA,Emanuel County,32.58976,-82.30171
13109,GA,Evans County,33.532725,-82.118999
13111,GA,Fannin County,34.86411,-84.31985
13113,GA,Fayette County,33.41394,-84.49419
13115,GA,Floyd County,34.26316,-85.21428
13117,GA,Forsyth County,33.028522,-83.946364
13119,GA,Franklin County,34.282761,-83.150016
13121,GA,Fulton County,34.263684,-85.034187
13123,GA,Gilmer County,33.854509,-84.492744
13125,GA,Glascock County,33.22928,-82.6107
13127,GA,Glynn County,33.209109,-85.22455
13129,GA,Gordon County,32.998038,-83.258249
13131,GA,Grady County,32.533133,-82.912405
13133,GA,Greene County,31.367108,-81.428702
13135,GA,Gwinnett County,33.96173,-84.02363
13137,GA,Habersham County,34.58864,-83.563642
13139,GA,Hall County,34.290144,-83.109211
13141,GA,Hancock County,33.27043,-83.00069
13143,GA,Haralson County,33.040794,-85.033504
13145,GA,Harris County,32.736,-84.90899
13147,GA,Hart County,31.759044,-84.449939
13149,GA,Heard County,31.759044,-84.449939
13151,GA,Henry County,33.976738,-82.62679
13153,GA,Houston County,33.18397,-84.325058
13155,GA,Irwin County,31.60228,-83.27638
13157,GA,Jackson County,34.13388,-83.56635
13159,GA,Jasper County,34.471872,-84.422966
13161,GA,Jeff Davis County,31.8056,-82.63694
13163,GA,Jefferson County,34.108411,-83.573454
13165,GA,Jenkins County,33.287965,-85.113472
13167,GA,Johnson County,32.148438,-82.303041
13169,GA,Jones County,31.739204,-81.434843
13171,GA,Lamar County,33.07654,-84.13946
13173,GA,Lanier County,32.134341,-81.620649
13175,GA,Laurens County,31.368268,-81.426792
13177,GA,Lee County,33.455069,-82.488124
13179,GA,Liberty County,31.80723,-81.45626
13181,GA,Lincoln County,33.786639,-82.481487
13183,GA,Long County,33.165585,-84.890712
13185,GA,Lowndes County,30.83386,-83.26771
13187,GA,Lumpkin County,32.634166,-84.452901
13189,GA,McDuffie County,33.48285,-82.48137
13191,GA,McIntosh County,31.830306,-81.532232
13193,GA,Macon County,32.83882,-83.674574
13195,GA,Madison County,33.610001,-83.345332
13197,GA,Marion County,32.733801,-83.519358
13199,GA,Meriwether County,33.04066,-84.68831
13201,GA,Miller County,31.16399,-84.73072
13205,GA,Mitchell County,33.310421,-82.702492
13207,GA,Monroe County,33.834576,-83.734184
13209,GA,Montgomery County,31.99836,-81.122318
13211,GA,Morgan County,31.669484,-84.09277
13213,GA,Murray County,33.587952,-84.323757
13215,GA,Muscogee County,32.50996,-84.87704
13217,GA,Newton County,31.268627,-84.394449
13219,GA,Oconee County,33.379557,-83.20994
13221,GA,Oglethorpe County,32.269574,-84.081854
13223,GA,Paulding County,33.92055,-84.86729
13225,GA,Peach County,32.56878,-83.82688
13227,GA,Pickens County,34.46432,-84.46564
13229,GA,Pierce County,34.313839,-83.816676
13231,GA,Pike County,33.09227,-84.38923
13233,GA,Polk County,34.00178,-85.18815
13235,GA,Pulaski County,32.445394,-81.811375
13237,GA,Putnam County,32.580007,-84.591139
13239,GA,Quitman County,31.056455,-83.488548
13241,GA,Rabun County,31.27007,-82.007876
13243,GA,Randolph County,31.76262,-84.75419
13245,GA,Richmond County,31.956826,-81.323549
13247,GA,Rockdale County,33.65424,-84.02661
13249,GA,Schley County,32.26169,-84.31472
13251,GA,Screven County,31.516306,-82.056905
13253,GA,Seminole County,30.93878,-84.86887
13255,GA,Spalding County,33.26087,-84.28416
13257,GA,Stephens County,33.781894,-83.113766
13259,GA,Stewart County,33.360075,-84.6416
13261,GA,Sumter County,32.066625,-84.219583
13263,GA,Talbot County,32.69949,-84.53301
13265,GA,Taliaferro County,33.56609,-82.87876
13267,GA,Tattnall County,32.04575,-82.05818
13269,GA,Taylor County,32.55546,-84.25046
13271,GA,Telfair County,31.9298,-82.93899
13273,GA,Terrell County,31.014825,-84.269598
13275,GA,Thomas County,30.86368,-83.91931
13277,GA,Tift County,31.45744,-83.52659
13279,GA,Toombs County,32.12172,-82.33129
13281,GA,Towns County,31.992925,-82.764355
13283,GA,Treutlen County,32.40388,-82.56728
13285,GA,Troup County,33.03351,-85.02834
13287,GA,Turner County,31.71638,-83.62409
13289,GA,Twiggs County,32.6672,-83.42708
13291,GA,Union County,33.841096,-84.976839
13293,GA,Upson County,32.88127,-84.29934
13295,GA,Walker County,34.73566,-85.30098
13297,GA,Walton County,32.814026,-83.675303
13299,GA,Ware County,31.05363,-82.42368
13301,GA,Warren County,33.40896,-82.67676
13303,GA,Washington County,33.725539,-82.754735
13305,GA,Wayne County,31.55143,-81.91676
13307,GA,Webster County,32.04665,-84.55105
13309,GA,Wheeler County,32.11707,-82.72459
13311,GA,White County,34.22288,-84.618303
13313,GA,Whitfield County,34.80561,-84.96722
13315,GA,Wilcox County,31.9729,-83.43236
13317,GA,Wilkes County,33.78195,-82.74323
13319,GA,Wilkinson County,32.80241,-83.17125
13321,GA,Worth County,31.694809,-83.651547
15001,HI,Hawaii County,20.237312,-155.830552
15003,HI,Honolulu County,21.325233,-157.972948
15005,HI,Kalawao County,20.881733,-156.672303
15007,HI,Kauai County,20.927488,-156.366755
15009,HI,Maui County,20.86774,-156.61706
16001,ID,Ada County,42.719102,-111.596651
16003,ID,Adams County,42.719102,-111.596651
16005,ID,Bannock County,43.359906,-114.175873
16007,ID,Bear Lake County,42.448768,-111.72098
16009,ID,Benewah County,47.407605,-116.623873
16011,ID,Bingham County,43.359906,-114.175873
16013,ID,Blaine County,46.629112,-116.930782
16015,ID,Boise County,43.635982,-116.033712
16017,ID,Bonner County,43.359906,-114.175873
16019,ID,Bonneville County,43.359906,-114.175873
16021,ID,Boundary County,42.719102,-111.596651
16023,ID,Butte County,42.719102,-111.596651
16025,ID,Camas County,42.719102,-111.596651
16027,ID,Canyon County,43.359906,-114.175873
16029,ID,Caribou County,42.719102,-111.596651
16031,ID,Cassia County,43.429504,-114.222028
16033,ID,Clark County,46.974333,-116.28108
16035,ID,Clearwater County,46.144416,-115.971882
16037,ID,Custer County,42.719102,-111.596651
16039,ID,Elmore County,48.479653,-116.462416
16041,ID,Franklin County,42.028792,-111.787055
16043,ID,Fremont County,42.719102,-111.596651
16045,ID,Gem County,47.508263,-115.867939
16047,ID,Gooding County,42.938465,-114.706724
16049,ID,Idaho County,42.719102,-111.596651
16051,ID,Jefferson County,42.719102,-111.596651
16053,ID,Jerome County,42.739188,-114.695945
16055,ID,Kootenai County,48.310218,-116.512098
16057,ID,Latah County,42.719102,-111.596651
16059,ID,Lemhi County,44.851793,-113.620056
16061,ID,Lewis County,43.459672,-114.259514
16063,ID,Lincoln County,43.493342,-112.008858
16065,ID,Madison County,43.359906,-114.175873
16067,ID,Minidoka County,42.732918,-113.393347
16069,ID,Nez Perce County,46.238212,-116.343858
16071,ID,Oneida County,42.719102,-111.596651
16073,ID,Owyhee County,42.719102,-111.596651
16075,ID,Payette County,44.057651,-116.96823
16077,ID,Power County,42.719102,-111.596651
16079,ID,Shoshone County,43.282847,-114.40099
16081,ID,Teton County,43.888683,-111.678001
16083,ID,Twin Falls County,42.527893,-114.481363
16085,ID,Valley County,46.836878,-117.039575
16087,ID,Washington County,43.359906,-114.175873
17001,IL,Adams County,42.304727,-89.902075
17003,IL,Alexander County,42.304727,-89.902075
